rank,client_hash_id,content_hash_id,predicted_decline_prob,baseline_score,content_archetype,recommended_action,priority_tier,effort_hours_assumption,safety_guardrail,gsc_impressions_apr,gsc_clicks_apr,gsc_avg_position_apr,ga4_pageviews_apr,reason_codes
1,client_8ddc46da5414ffd8,content_1c00cf3d4bbf2176,0.9046373803030113,0.9523809523809523,High Search Impression / Thin Traffic,"Review click-through performance, search intent alignment, content depth, and internal linking.",P1_High_Priority,3.5,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE | MANDATORY_SENIOR_EDITOR_SIGNOFF,16993.0,986.0,20.229669397201288,0.0,HIGH_MODEL_DECLINE_RISK | THIN_PAGEVIEWS_HIGH_SEARCH_DEMAND
2,client_23a62021009f63c4,content_de798f0833d16117,0.8738992450256841,2.4,High Search Impression / Thin Traffic,"Review click-through performance, search intent alignment, content depth, and internal linking.",P1_High_Priority,3.5,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE | MANDATORY_SENIOR_EDITOR_SIGNOFF,15323.0,16.0,57.240775895529424,28.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | HIGH_W04_BASELINE_SIGNAL
3,client_f623b01661d4bfe4,content_7bc6d16ded742281,0.8690591360163041,1.8333333333333333,General Higher-Decline-Risk Review,Prioritize for diagnostic review of recent traffic trends and on-page content.,P1_High_Priority,3.0,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE | MANDATORY_SENIOR_EDITOR_SIGNOFF,547.0,15.0,52.509842597810135,15.0,HIGH_MODEL_DECLINE_RISK
4,client_08a6a72ff48e62c0,content_e7b5dd4dff461ad2,0.8616222041686433,1.0,High Search Impression / Thin Traffic,"Review click-through performance, search intent alignment, content depth, and internal linking.",P1_High_Priority,3.5,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE | MANDATORY_SENIOR_EDITOR_SIGNOFF,242130.0,2372.0,4.656430780184478,0.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | THIN_PAGEVIEWS_HIGH_SEARCH_DEMAND
5,client_8ddc46da5414ffd8,content_5fff3af0b9df3591,0.8550446741527375,1.2380952380952381,Striking Distance / Search Visibility,"Review title/meta alignment, search intent, SERP competition, and page structure.",P1_High_Priority,2.0,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE | MANDATORY_SENIOR_EDITOR_SIGNOFF,13271.0,440.0,15.683581252216161,0.0,HIGH_MODEL_DECLINE_RISK | STRIKING_DISTANCE_POS_8_20 | THIN_PAGEVIEWS_HIGH_SEARCH_DEMAND
6,client_20259bd6705d81d4,content_daf876f38ba13976,0.8385533298654768,2.1666666666666665,High Search Impression / Thin Traffic,"Review click-through performance, search intent alignment, content depth, and internal linking.",P1_High_Priority,3.5,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE | MANDATORY_SENIOR_EDITOR_SIGNOFF,11686.0,10.0,38.14971560117452,8.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | THIN_PAGEVIEWS_HIGH_SEARCH_DEMAND | HIGH_W04_BASELINE_SIGNAL
7,client_e547b89c05043229,content_ba98b9ba325cb149,0.8330990882152183,2.7,High Search Impression / Thin Traffic,"Review click-through performance, search intent alignment, content depth, and internal linking.",P1_High_Priority,3.5,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE | MANDATORY_SENIOR_EDITOR_SIGNOFF,71154.0,34.0,43.64171014995001,41.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | HIGH_W04_BASELINE_SIGNAL
8,client_08a6a72ff48e62c0,content_1516ec061fe1f8a5,0.826810644281916,1.0,High Search Impression / Thin Traffic,"Review click-through performance, search intent alignment, content depth, and internal linking.",P1_High_Priority,3.5,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE | MANDATORY_SENIOR_EDITOR_SIGNOFF,51428.0,1024.0,4.698160324609101,0.0,HIGH_MODEL_DECLINE_RISK | THIN_PAGEVIEWS_HIGH_SEARCH_DEMAND
9,client_e547b89c05043229,content_c6750dfac3e50f22,0.8264594905307229,2.2333333333333334,High Search Impression / Thin Traffic,"Review click-through performance, search intent alignment, content depth, and internal linking.",P1_High_Priority,3.5,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE | MANDATORY_SENIOR_EDITOR_SIGNOFF,9120.0,15.0,37.95986271418833,11.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | THIN_PAGEVIEWS_HIGH_SEARCH_DEMAND | HIGH_W04_BASELINE_SIGNAL
10,client_e5c2aa26a8598242,content_d018064bc6092e65,0.8239337655163158,2.433333333333333,General Higher-Decline-Risk Review,Prioritize for diagnostic review of recent traffic trends and on-page content.,P1_High_Priority,3.0,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE | MANDATORY_SENIOR_EDITOR_SIGNOFF,13202.0,22.0,49.693700353175835,22.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | HIGH_W04_BASELINE_SIGNAL
11,client_e5c2aa26a8598242,content_b7e6b9e9d363400f,0.8230268701949812,2.4,High Search Impression / Thin Traffic,"Review click-through performance, search intent alignment, content depth, and internal linking.",P1_High_Priority,3.5,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE | MANDATORY_SENIOR_EDITOR_SIGNOFF,4538.0,15.0,43.1774389703783,20.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | HIGH_W04_BASELINE_SIGNAL
